key,display,plain,slug,type,isUserFacing,schemaType,status,owner,allowLambdaInDisplay,requireTransparency,defaultTone,themes,locales,dependencies,legacyAliases,sources,lastVerified,scannerVersion
matriz,MΛTRIZ,Matriz,/matriz,ui,true,SoftwareApplication,public,Safety & Governance,true,true,plain,"traceability|governance|provenance|integrity",en,"core|governance","matada|MATADA","MATRIZ/README.md|MATRIZ/frontend/package.json|lukhas_website/app/matriz/page.tsx",2025-08-19T00:00:00Z,v2
identity,ΛiD,Lukhas ID,/id,ui,true,SoftwareApplication,public,Identity & Auth,true,true,plain,"identity|security|authentication|tiers",en,core,,"identity/README.md|identity/registration.py|identity/login.py",2025-08-19T00:00:00Z,v2
api,API,API,/api,webapi,true,WebAPI,public,Platform,false,true,technical,"integration|endpoints|rest",en,"core|identity",,"api/consciousness_chat_api.py|api/integrated_consciousness_api.py|api/universal_language_api.py|api/feedback_api.py",2025-08-19T00:00:00Z,v2
core,Core,Core,,library,false,,internal,Platform,false,false,technical,"glyph|symbolic|graph|foundation",en,,,core/MODULE_MANIFEST.json|core/modules/|core/services/,2025-08-19T00:00:00Z,v2
consciousness,Consciousness,Consciousness,,service,false,,internal,Core AI,false,false,technical,"awareness|reflection|decision-making|states",en,"core|memory",,"consciousness/MODULE_MANIFEST.json|consciousness/unified/|api/consciousness_chat_api.py",2025-08-19T00:00:00Z,v2
memory,Memory,Memory,,service,false,,internal,Core AI,false,false,technical,"fold-based|causal-chains|persistence",en,core,,"memory/MODULE_MANIFEST.json|memory/README.md",2025-08-19T00:00:00Z,v2
governance,Governance,Governance,,service,false,,internal,Safety & Governance,false,false,plain,"guardian|ethics|policy|oversight",en,core,,"governance/MODULE_MANIFEST.json|governance/guardian/|governance/ethics/",2025-08-19T00:00:00Z,v2
emotion,Emotion,Emotion,,service,false,,internal,Core AI,false,false,technical,"affect|mood|emotional-intelligence",en,core,,emotion/MODULE_MANIFEST.json,2025-08-19T00:00:00Z,v2
vivox,VIVOX,Vivox,,experiment,false,,experimental,Core AI,false,false,technical,"voice|conscience|moral-alignment",en,"core|memory|consciousness|governance",,"vivox/MODULE_MANIFEST.json|vivox/README.md",2025-08-19T00:00:00Z,v2
qi,QI,Quantum Inspired,,experiment,false,,experimental,Research,false,false,technical,"quantum|superposition|bio-inspired",en,core,,"qi/MODULE_MANIFEST.json|qi/README.md",2025-08-19T00:00:00Z,v2
bridge,Bridge,Bridge,,service,false,,internal,Integration,false,false,technical,"api-integration|external-services",en,core,,bridge/MODULE_MANIFEST.json,2025-08-19T00:00:00Z,v2
oneiric,Oneiric,Oneiric Dream Analysis,,experiment,false,,experimental,Research,false,false,plain,"dreams|symbolic-analysis|multimodal",en,"consciousness|identity",,"consciousness/dream/oneiric/README.md|consciousness/dream/oneiric/frontend/package.json",2025-08-19T00:00:00Z,v2
orchestration,Orchestration,Orchestration,,service,false,,internal,Platform,false,false,technical,"coordination|routing|agent-handoff",en,core,,"orchestration/README.md|orchestration/brain/",2025-08-19T00:00:00Z,v2
